City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
282,Morristown,US,36.214,-83.2949,70.95,35,0,1.01,clear sky
283,Sept-Iles,CA,50.2001,-66.3821,46.06,56,75,10.36,broken clouds
284,Gamba,GA,-2.65,10.0,76.91,87,67,4.9,broken clouds
285,Abu Zabad,SD,12.35,29.25,73.72,75,100,2.95,light rain
286,Kjollefjord,NO,70.9457,27.3465,44.65,81,0,8.05,clear sky
287,Khanpur,PK,28.6453,70.6567,79.27,52,0,7.92,clear sky
288,Alexandroupoli,GR,40.8475,25.8744,62.42,67,20,11.5,few clouds
289,Rozhyshche,UA,50.9154,25.2691,49.35,81,63,8.19,broken clouds
290,Melilla,ES,35.2937,-2.9383,73.6,73,20,5.75,few clouds
291,Rafai,CF,4.95,23.9167,69.69,97,84,2.59,light rain
292,Eyl,SO,7.9803,49.8164,78.1,83,20,17.9,few clouds
293,Padilla,CO,3.2204,-76.3139,87.37,51,99,2.33,overcast clouds
294,Birin,NP,26.8865,88.0718,59.34,93,75,3.51,broken clouds
295,Marrakesh,MA,31.6315,-8.0083,73.47,60,40,4.61,scattered clouds
296,Scarborough,GB,54.2797,-0.4044,49.57,74,0,1.01,clear sky
297,Zabid,YE,14.1951,43.3152,87.33,53,91,1.95,overcast clouds
298,Valparaiso,CL,-33.0393,-71.6273,58.64,92,75,11.5,broken clouds
299,Panama City,PA,8.9936,-79.5197,88.38,68,40,6.91,scattered clouds
300,Carutapera,BR,-1.195,-46.02,85.86,60,83,10.71,broken clouds
301,Dudinka,RU,69.4058,86.1778,38.62,100,100,5.23,light rain
302,Geraldton,AU,-28.7667,114.6,50.41,76,95,9.22,overcast clouds
303,Hobyo,SO,5.3505,48.5268,77.79,86,71,23.02,broken clouds
304,Plymouth,US,41.8334,-70.8328,66.36,61,100,12.66,overcast clouds
305,Caninde,BR,-4.3589,-39.3117,93.4,31,23,4.0,few clouds
306,Jiwani,PK,25.05,61.7417,80.2,62,0,7.49,clear sky
307,Beisfjord,NO,68.3751,17.5988,49.05,86,100,4.21,overcast clouds
308,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,57.7,52,8,9.73,clear sky
309,Bissora,GW,12.2231,-15.4475,89.67,85,83,3.0,moderate rain
310,Touros,BR,-5.1989,-35.4608,81.46,70,11,16.24,few clouds
311,Puerto Leguizamo,CO,-0.1934,-74.7819,87.49,52,100,5.44,light rain
312,Cobija,BO,-11.0267,-68.7692,95.18,55,75,3.44,broken clouds
313,Abha,SA,18.2164,42.5053,67.82,17,0,11.5,clear sky
314,Henties Bay,NA,-22.116,14.2845,60.55,92,100,3.85,overcast clouds
315,Havant,GB,50.8567,-0.9856,54.91,83,0,8.05,clear sky
316,Zile,TR,40.3031,35.8864,54.64,78,1,4.43,clear sky
317,Acarau,BR,-2.8856,-40.12,84.63,60,69,21.07,broken clouds
318,Kuusamo,FI,65.9667,29.1833,44.64,93,100,9.22,overcast clouds
319,Mineros,BO,-17.1167,-63.2333,82.94,29,5,1.66,clear sky
320,Bilma,NE,18.6853,12.9164,86.38,17,0,4.23,clear sky
321,Marsh Harbour,BS,26.5412,-77.0636,83.62,68,11,9.01,few clouds
322,Puerto Baquerizo Moreno,EC,-0.9,-89.6,70.79,73,75,16.11,broken clouds
323,Amapa,BR,1.0,-52.0,87.15,52,100,5.3,overcast clouds
324,Nanga Eboko,CM,4.6833,12.3667,66.29,97,49,1.5,light rain
325,Santiago Del Estero,AR,-27.7951,-64.2615,76.51,16,0,8.93,clear sky
326,Matai,TZ,-8.3,31.5167,66.79,42,67,4.99,broken clouds
327,Santa Cruz,BO,-17.8,-63.1667,71.06,43,75,9.22,broken clouds
328,Imbituba,BR,-28.24,-48.6703,60.85,96,100,2.71,moderate rain
329,Iskateley,RU,67.6803,53.1512,41.86,83,98,20.04,overcast clouds
330,Nortelandia,BR,-14.4547,-56.8028,88.61,47,100,2.62,overcast clouds
331,Korla,CN,41.7597,86.1469,57.07,30,56,12.71,broken clouds
332,Kazanskaya,RU,45.4106,40.4361,55.17,73,3,15.79,clear sky
333,Taltal,CL,-25.4,-70.4833,61.61,62,22,6.93,few clouds
334,Mount Vernon,US,40.9126,-73.8371,71.01,39,40,11.99,scattered clouds
335,Landeck,AT,47.1301,10.5636,56.14,90,94,0.27,overcast clouds
336,Aguimes,ES,27.9054,-15.4461,71.65,73,20,23.02,few clouds
337,Punahana,IN,27.8667,77.2,72.95,94,89,2.55,overcast clouds
338,Rize,TR,40.9044,40.8949,42.51,93,100,0.98,overcast clouds
339,Margate,GB,51.3813,1.3862,55.69,65,1,1.99,clear sky
340,Albany,US,42.6001,-73.9662,60.67,66,84,8.61,broken clouds
341,Yar-Sale,RU,66.8333,70.8333,39.78,86,100,12.97,overcast clouds
342,Cumana,VE,10.4635,-64.1775,83.34,75,93,2.93,overcast clouds
343,Mao,ES,39.8885,4.2658,68.56,88,20,3.44,few clouds
344,Muros,ES,42.7762,-9.0603,64.15,93,100,4.05,overcast clouds
345,Jeremie,HT,18.65,-74.1167,84.45,70,38,3.11,scattered clouds
