,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
440,Bandarbeyla,SO,77.88,overcast clouds,9.4942,50.8122,JABIR HOTEL
441,Luxor,EG,79.38,clear sky,25.6989,32.6421,Iberotel Luxor
448,Pisco,PE,66.25,haze,-13.7,-76.2167,Hotel San Isidro Oficial
451,Lima,PE,62.85,broken clouds,-12.0432,-77.0282,Hotel Kamana
458,Nantucket,US,66.31,clear sky,41.2835,-70.0995,Jared Coffin House
461,Sainte-Suzanne,RE,71.82,few clouds,-20.9061,55.6089,Gites Ango
462,Santa Cruz De Tenerife,ES,76.28,scattered clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
467,Huarmey,PE,68.4,few clouds,-10.0681,-78.1522,Hotel Miramar
470,Burton,US,67.68,clear sky,42.9995,-83.6163,Burton Inn & Suites
476,Bengkulu,ID,77.14,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
480,Bejar,ES,61.57,broken clouds,40.3864,-5.7634,Posada Puerta Grande
481,Nador,MA,71.85,few clouds,35.174,-2.9287,Hôtel La Giralda
482,Sao Jose Da Coroa Grande,BR,79.54,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
483,Chimore,BO,79.3,scattered clouds,-16.9833,-65.1333,Bichito
484,Sabha,LY,76.95,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
492,Hauterive,FR,66.96,overcast clouds,46.0901,3.4459,Aletti Palace Hotel
499,Presidencia Roque Saenz Pena,AR,67.21,clear sky,-26.7852,-60.4388,Hotel Gualok
502,Manjacaze,MZ,70.18,clear sky,-24.7117,33.8828,Hotel Gani
505,Pasni,PK,79.34,clear sky,25.2631,63.471,Kashmiri Hotal
507,Oxapampa,PE,67.87,broken clouds,-10.5775,-75.4017,Hotel Heidinger
508,Plettenberg Bay,ZA,67.55,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
513,Menongue,AO,71.76,broken clouds,-14.6585,17.691,Ritz Lauca
515,Sechura,PE,74.88,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
518,Siddapur,IN,69.89,moderate rain,14.3333,74.8833,Ibbani Homestay
521,Puerto Del Rosario,ES,73.15,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
525,Paita,PE,69.8,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
528,Chinna Salem,IN,75.04,overcast clouds,11.65,78.9,SVA Lodge
529,Sao Felix Do Xingu,BR,78.44,heavy intensity rain,-6.6447,-51.995,Rio Xingu Camping
530,Mehnagar,IN,73.72,overcast clouds,25.8833,83.1167,R.P. SAHAB
532,Rio Gallegos,AR,60.85,few clouds,-51.6226,-69.2181,Hotel Santa Cruz
533,Nouadhibou,MR,71.29,few clouds,20.931,-17.0347,El Medina
536,Jalaun,IN,76.03,overcast clouds,26.1451,79.3366,Muskan maiching Center
537,Kirkuk,IQ,75.0,clear sky,35.4681,44.3922,Cihad Oteli
542,Maputo,MZ,71.98,clear sky,-25.9653,32.5892,Pestana Rovuma
